ticker|R1|R3|R5|R10
ACCU|-4.54|-6.21|-7.88|
EPRO|-1.47|-3.54|-3.91|
GGBP|-0.22|||
GEUR|-0.22|||
GYEN|-0.22|||
GLDE|-0.22|||
HOLD|1.48|||
HDGI|-3.46|2.35|2.88|
GTAA|-1.47|-0.93|-1.37|
GIVE|-1.47|-1.15|-1.50|
FWDD|-3.46|-2.76|-3.44|
FWDB|1.48|1.05|1.29|
FWDI|-4.54|-2.77|-3.73|
MATH|-1.47|-2.90|-2.81|
MINC|1.48|0.76|0.80|
HYLD|1.48|1.06|1.15|
DBIZ|-1.47|0.27|-0.04|
QEH|-3.46|-2.18|-2.18|
HDGE|-3.46|4.47|3.99|
VEGA|-3.46|-1.32|-1.76|
TTFS|-3.46|-3.53|-3.36|
AADR|-4.54|-3.28|-4.34|
AHYAX|3.34|2.93|14.65|6.98
AHYFX|7.61|4.57|15.86|7.68
AVALX|21.97|15.82|33.09|8.95
VAFAX|23.03|9.61|18.36|
VAFBX|25.24|10.78|19.09|
VAFCX|28.19|10.89|18.89|
VAFRX|29.87|11.40|19.40|
VAFNX|30.61|12.10|19.97|
VAFFX|30.76|11.91|19.85|
VAFIX|30.49|11.92|19.99|
CLFAX|-6.29|5.84|5.19|3.50
CLFBX|-6.65|6.57|5.84|4.03
CLFCX|-3.61|6.83|5.58|3.42
CLFDX|-1.95|7.64|6.38|4.20
ACPSX|-3.03|3.10||
CPBBX|-4.37|2.93||
CPCFX|-0.55|3.80||
CPBRX|1.02|4.35||
CPIIX|1.43|4.84||
CPBFX|1.53|4.73||
CPBYX|1.43|4.87||
VADAX|16.50|12.17|22.36|7.90
VADBX|17.34|12.67|22.64|7.69
VADCX|21.35|13.46|22.84|7.71
VADRX|22.97|14.01|23.45|8.01
VADFX|23.63|13.98|23.16|7.84
VADDX|23.57|14.59|24.05|8.78
ACEIX|10.47|8.04|13.89|6.41
ACEQX|11.11|8.81|14.63|6.58
ACERX|15.04|9.31|14.33|6.23
ACESX|16.65|9.83|14.93|6.76
ACEKX|17.38|10.49|15.49|7.15
IEIFX|17.38|10.29|15.31|7.07
ACETX|17.19|10.38|15.48|7.27
AFRAX|2.55|4.50|11.88|4.13
AFRCX|3.53|4.82|11.86|3.91
AFRRX|4.79|5.09|12.16|4.14
AFRIX|5.46|5.71|12.81|4.65
AFRFX|5.54|5.50|12.52|4.42
AFRYX|5.31|5.61|12.67|4.50
ASRIX|-0.61|7.07|17.01|6.39
ASRAX|-6.38|4.72|15.21|5.51
SARBX|-6.38|5.05|15.49|5.31
ASRCX|-2.63|5.95|15.67|5.31
ASRFX|-0.41|6.98|16.70|6.18
ASRYX|-0.69|6.99|16.81|6.24
ACGIX|14.77|10.00|16.61|6.70
ACGJX|16.40|11.30|17.70|7.13
ACGKX|19.54|11.26|17.07|6.52
ACGLX|21.14|11.81|17.63|7.04
ACGQX|21.87|12.50|18.26|7.46
GIFFX|21.98|12.31|18.07|7.37
ACGMX|21.73|12.36|18.23|7.55
SCAUX|11.15|10.19|14.77|
SBCUX|11.76|10.72|15.04|
SCCUX|15.68|11.47|15.20|
SCRUX|17.42|12.08|15.80|
SCIUX|18.11|12.73|16.45|
SCAYX|17.94|12.64|16.39|
SCNUX|17.57|12.30|16.09|
VKMPX|-8.30|3.92|5.83|2.93
VKPAX|-8.83|4.72|6.38|2.99
VKPCX|-5.86|4.67|5.96|2.62
VKPYX|-3.98|5.74|6.97|3.48
SPIAX|14.15|11.17|17.26|5.69
SPIBX|14.93|11.63|17.50|5.49
SPICX|18.83|12.45|17.71|5.51
SPIDX|21.11|13.57|18.90|6.55
VASCX|21.09|12.41|17.81|9.34
VBSCX|23.22|13.83|18.90|9.54
VCSCX|26.13|13.75|18.26|9.15
VESCX|28.70|14.77|19.28|10.02
VFSCX|28.80|14.79|19.30|10.03
VISCX|28.42|14.86|19.46|10.19
CHTRX|11.73|9.03|14.70|6.68
BCHTX|12.36|9.44|14.90|6.49
CHTCX|16.37|10.28|15.13|6.49
CHRRX|17.95|10.84|15.71|7.02
CHTVX|18.60|11.52|16.47|7.75
CHFTX|18.71|11.30|16.13|7.34
CHRSX|18.33|11.22|16.09|7.33
CHTYX|18.51|11.37|16.29|7.43
LCEAX|12.68|10.66|17.22|7.16
LCEDX|13.31|11.12|17.46|7.01
LCEVX|17.41|11.93|17.69|7.01
DDFRX|18.96|12.48|18.31|7.53
DDFIX|19.60|13.14|18.97|8.07
LCEFX|19.69|12.95|18.67|7.81
LCEYX|19.59|13.04|18.88|7.92
LCEIX|19.25|12.79|18.61|7.82
ASMMX|20.71|11.14|14.56|6.17
BSMMX|21.76|11.65|14.81|6.00
CSMMX|25.84|12.43|14.98|5.97
SMMIX|27.89|13.45|16.03|6.95
SMITX|28.11|13.67|16.29|7.08
SMMSX|27.89|13.39|15.99|6.90
ASMYX|27.94|13.57|16.14|7.01
ESMAX|16.13|11.56|22.66|13.66
ESMBX|17.03|12.07|22.97|13.47
ESMCX|21.00|12.84|23.18|13.47
ESMYX|23.14|13.99|24.38|14.47
AWSAX|6.28|2.79|11.27|4.03
AWSBX|6.79|3.37|11.66|3.95
AWSCX|10.62|3.97|11.70|3.85
AWSRX|12.18|4.49|12.25|4.36
AWSIX|12.77|5.10|13.04|5.04
AWSYX|12.75|5.00|12.80|4.74
IEGAX|-3.09|4.20|20.04|11.55
IEGBX|-3.00|4.48|20.29|11.36
IEGCX|0.79|5.39|20.48|11.37
IEGIX|2.87|6.56|21.91|12.57
IEGFX|3.01|6.39|21.55|12.25
IEGYX|2.82|6.44|21.72|12.34
SMEAX|15.75|11.23|19.36|7.50
SMEBX|16.57|11.67|19.61|7.31
SMECX|20.58|12.47|19.84|7.32
SMERX|22.19|13.06|20.45|7.85
SMEIX|22.95|13.82|21.32|8.63
SMEFX|23.07|13.59|20.88|8.18
SMEYX|22.77|13.62|21.07|8.27
AFTAX|-5.00|5.42|11.27|
